region,site,survey_year,species,life_stage,count
Upper Bay,U1,2024,cod,juvenille,42
Upper Bay,U1,2024,cod,adult,12
Upper Bay,U1,2024,haddock,juvenille,18
Upper Bay,U1,2024,haddock,adult,8
Upper Bay,U1,2024,pollock,juvenille,65
Upper Bay,U1,2024,pollock,adult,21
Upper Bay,U2,2024,cod,juvenille,35
Upper Bay,U2,2024,cod,adult,10
Upper Bay,U2,2024,haddock,adult,6
Upper Bay,U2,2024,pollock,juvenille,48
Upper Bay,U2,2024,pollock,adult,16
Upper Bay,U3,2024,cod,juvenille,27
Upper Bay,U3,2024,cod,adult,9
Upper Bay,U3,2024,haddock,juvenille,14
Upper Bay,U3,2024,haddock,adult,5
Upper Bay,U3,2024,pollock,juvenille,39
Upper Bay,U3,2024,pollock,adult,13
Upper Bay,U1,2025,cod,juvenille,46
Upper Bay,U1,2025,cod,adult,14
Upper Bay,U1,2025,haddock,juvenille,20
Upper Bay,U1,2025,haddock,adult,9
Upper Bay,U1,2025,pollock,juvenille,70
Upper Bay,U1,2025,pollock,adult,24
Upper Bay,U2,2025,cod,juvenille,38
Upper Bay,U2,2025,cod,adult,11
Upper Bay,U2,2025,haddock,juvenille,16
Upper Bay,U2,2025,haddock,adult,7
Upper Bay,U2,2025,pollock,juvenille,53
Upper Bay,U2,2025,pollock,adult,18
Upper Bay,U3,2025,cod,juvenille,30
Upper Bay,U3,2025,cod,adult,10
Upper Bay,U3,2025,haddock,juvenille,15
Upper Bay,U3,2025,haddock,adult,6
Upper Bay,U3,2025,pollock,juvenille,44
Upper Bay,U3,2025,pollock,adult,15
Lower Bay,L1,2024,cod,juvenille,24
Lower Bay,L1,2024,cod,adult,18
Lower Bay,L1,2024,haddock,juvenille,11
Lower Bay,L1,2024,haddock,adult,13
Lower Bay,L1,2024,pollock,juvenille,31
Lower Bay,L1,2024,pollock,adult,27
Lower Bay,L2,2024,cod,juvenille,20
Lower Bay,L2,2024,cod,adult,16
Lower Bay,L2,2024,haddock,juvenille,9
Lower Bay,L2,2024,haddock,adult,12
Lower Bay,L2,2024,pollock,juvenille,28
Lower Bay,L2,2024,pollock,adult,25
Lower Bay,L3,2024,cod,juvenille,17
Lower Bay,L3,2024,cod,adult,15
Lower Bay,L3,2024,haddock,juvenille,8
Lower Bay,L3,2024,haddock,adult,10
Lower Bay,L3,2024,pollock,juvenille,24
Lower Bay,L1,2025,cod,juvenille,26
Lower Bay,L1,2025,cod,adult,20
Lower Bay,L1,2025,haddock,juvenille,12
Lower Bay,L1,2025,haddock,adult,15
Lower Bay,L1,2025,pollock,juvenille,35
Lower Bay,L1,2025,pollock,adult,30
Lower Bay,L2,2025,cod,juvenille,22
Lower Bay,L2,2025,cod,adult,18
Lower Bay,L2,2025,haddock,juvenille,10
Lower Bay,L2,2025,haddock,adult,13
Lower Bay,L2,2025,pollock,juvenille,31
Lower Bay,L2,2025,pollock,adult,27
Lower Bay,L3,2025,cod,juvenille,19
Lower Bay,L3,2025,cod,adult,16
Lower Bay,L3,2025,haddock,juvenille,9
Lower Bay,L3,2025,haddock,adult,11
Lower Bay,L3,2025,pollock,juvenille,27
Lower Bay,L3,2025,pollock,adult,24
